Wavelength,"μ a, SO2 > 98 %","μ a, SO2 = 0 %"
[nm],[mm−1],[mm−1]
"1,230",0.18,0.17
"1,235",0.18,0.17
"1,240",0.18,0.17
"1,245",0.18,0.17
"1,250",0.17,0.17
"1,255",0.17,0.17
"1,260",0.17,0.17
"1,265",0.17,0.15
"1,270",0.15,0.14
"1,275",0.16,0.15
"1,280",0.18,0.16
"1,285",0.17,0.16
"1,290",0.16,0.16
"1,295",0.18,0.18
"1,300",0.19,0.2
"1,305",0.2,0.21
"1,310",0.21,0.22
"1,315",0.22,0.23
"1,320",0.24,0.26
"1,325",0.26,0.29
"1,330",0.29,0.31
"1,335",0.32,0.34
"1,340",0.35,0.37
"1,345",0.37,0.37
"1,350",0.39,0.38
"1,355",0.42,0.41
"1,360",0.45,0.43
"1,365",0.5,0.51
"1,370",0.59,0.65
"1,375",0.72,0.78
"1,380",0.88,0.92
"1,385",1.07,1.05
"1,390",1.3,1.2
"1,395",1.46,1.35
"1,400",1.62,1.49
"1,405",1.78,1.71
"1,410",1.94,1.83
"1,415",2.04,1.94
"1,420",2.13,2.08
"1,425",2.24,2.27
"1,430",2.33,2.36
"1,435",2.38,2.43
"1,440",2.38,2.5
"1,445",2.4,2.51
"1,450",2.41,2.48
"1,455",2.4,2.44
"1,460",2.38,2.37
"1,465",2.4,2.35
"1,470",2.34,2.33
"1,475",2.27,2.29
"1,480",2.2,2.24
"1,485",2.06,2.17
"1,490",1.89,2.07
"1,495",1.78,1.95
"1,500",1.71,1.82
"1,505",1.63,1.73
"1,510",1.5,1.63
"1,515",1.39,1.54
"1,520",1.34,1.49
"1,525",1.27,1.42
"1,530",1.21,1.33
"1,535",1.15,1.23
"1,540",1.11,1.14
"1,545",1.07,1.09
"1,550",1.03,1.05
"1,555",0.97,1.01
"1,560",0.91,0.97
"1,565",0.85,0.92
"1,570",0.82,0.87
"1,575",0.79,0.82
"1,580",0.75,0.78
"1,585",0.73,0.75
"1,590",0.72,0.71
"1,595",0.7,0.69
"1,600",0.69,0.67
"1,605",0.67,0.65
"1,610",0.66,0.64
"1,615",0.64,0.62
"1,620",0.64,0.62
"1,625",0.63,0.61
"1,630",0.63,0.61
"1,635",0.62,0.61
"1,640",0.62,0.61
"1,645",0.62,0.6
"1,650",0.6,0.59
"1,655",0.58,0.57
"1,660",0.57,0.56
"1,665",0.57,0.56
"1,670",0.57,0.56
"1,675",0.57,0.56
"1,680",0.57,0.56
"1,685",0.57,0.57
"1,690",0.58,0.58
"1,695",0.59,0.58
"1,700",0.6,0.59
"1,705",0.6,0.59
"1,710",0.61,0.6
"1,715",0.61,0.61
"1,720",0.62,0.61
"1,725",0.62,0.62
"1,730",0.64,0.63
"1,735",0.65,0.64
"1,740",0.67,0.65
"1,745",0.69,0.66
"1,750",0.71,0.68
"1,755",0.74,0.72
"1,760",0.76,0.75
"1,765",0.78,0.79
"1,770",0.81,0.81
"1,775",0.83,0.82
"1,780",0.84,0.83
"1,785",0.86,0.84
"1,790",0.88,0.84
"1,795",0.88,0.84
"1,800",0.87,0.84
"1,805",0.86,0.83
"1,810",0.84,0.84
"1,815",0.83,0.84
"1,820",0.81,0.84
"1,825",0.79,0.85
"1,830",0.78,0.88
"1,835",0.78,0.9
"1,840",0.8,0.94
"1,845",0.8,0.97
"1,850",0.87,1.02
"1,855",1.1,1.21
"1,860",1.4,1.81
"1,865",1.78,2.19
"1,870",2.16,2.65
"1,875",3.03,3.24
"1,880",3.9,3.99
"1,885",4.6,5.05
"1,890",5.3,5.89
"1,895",6.16,6.56
"1,900",7.1,7
"1,905",7.4,7.33
"1,910",7.69,7.41
"1,915",8.01,7.41
"1,920",8.08,7.41
"1,925",8.13,7.57
"1,930",8.17,7.7
"1,935",8.22,7.84
"1,940",7.97,7.73
"1,945",7.79,7.57
"1,950",7.58,7.41
"1,955",7.34,7.25
"1,960",7.11,7.07
"1,965",6.87,6.85
"1,970",6.63,6.63
"1,975",6.4,6.41
"1,980",6.17,6.19
"1,985",6,6.04
"1,990",5.86,5.88
"1,995",5.72,5.73
